"","Station","Time","Entrances","Order","line","color1","color2","start","finish"
"1","Franconia-Springfield","04:30",46.8,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"2","Franconia-Springfield","04:45",101.2,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"3","Franconia-Springfield","05:00",83.6,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"4","Franconia-Springfield","05:15",107.8,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"5","Franconia-Springfield","05:30",132.6,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"6","Franconia-Springfield","05:45",175.4,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"7","Franconia-Springfield","06:00",256.6,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"8","Franconia-Springfield","06:15",281,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"9","Franconia-Springfield","06:30",347.8,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"10","Franconia-Springfield","06:45",377,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"11","Franconia-Springfield","07:00",470.4,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"12","Franconia-Springfield","07:15",479.2,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"13","Franconia-Springfield","07:30",477.8,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"14","Franconia-Springfield","07:45",458,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"15","Franconia-Springfield","08:00",475,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"16","Franconia-Springfield","08:15",421.4,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"17","Franconia-Springfield","08:30",344.8,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"18","Franconia-Springfield","08:45",268.2,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"19","Franconia-Springfield","09:00",234,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"20","Franconia-Springfield","09:15",190.2,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"21","Franconia-Springfield","09:30",200.8,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"22","Franconia-Springfield","09:45",144.2,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"23","Franconia-Springfield","10:00",159.8,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
"24","Franconia-Springfield","10:15",144.6,1,"Blue","#1C95D3","#e8f4fa",9.5,23.5
