"","Station","Time","Entrances","Order","line","color1","color2","start","finish"
"1","Greenbelt","04:45",443,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"2","Greenbelt","05:00",316,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"3","Greenbelt","05:15",403,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"4","Greenbelt","05:30",670,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"5","Greenbelt","05:45",783,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"6","Greenbelt","06:00",946,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"7","Greenbelt","06:15",1076,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"8","Greenbelt","06:30",1223,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"9","Greenbelt","06:45",1668,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"10","Greenbelt","07:00",1682,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"11","Greenbelt","07:15",2154,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"12","Greenbelt","07:30",1865,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"13","Greenbelt","07:45",1903,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"14","Greenbelt","08:00",1814,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"15","Greenbelt","08:15",1834,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"16","Greenbelt","08:30",1462,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"17","Greenbelt","08:45",1245,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"18","Greenbelt","09:00",1101,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"19","Greenbelt","09:15",999,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"20","Greenbelt","09:30",805,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"21","Greenbelt","09:45",660,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"22","Greenbelt","10:00",663,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"23","Greenbelt","10:15",654,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"24","Greenbelt","10:30",498,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"25","Greenbelt","10:45",503,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"26","Greenbelt","11:00",544,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"27","Greenbelt","11:15",524,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"28","Greenbelt","11:30",414,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"29","Greenbelt","11:45",386,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"30","Greenbelt","12:00",454,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"31","Greenbelt","12:15",534,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"32","Greenbelt","12:30",338,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"33","Greenbelt","12:45",383,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"34","Greenbelt","13:00",409,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"35","Greenbelt","13:15",429,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"36","Greenbelt","13:30",355,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"37","Greenbelt","13:45",314,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"38","Greenbelt","14:00",374,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"39","Greenbelt","14:15",439,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"40","Greenbelt","14:30",292,1,"Green","#19AF56","#e8f7ee",3.5,16.5
"41","Greenbelt","14:45",405,1,"Green","#19AF56","#e8f7ee",3.5,16.5
