"","Station","Time","Entrances","Order","line","color1","color2","start","finish"
"1","Vienna","04:45",510,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"2","Vienna","05:00",497,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"3","Vienna","05:15",750,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"4","Vienna","05:30",828,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"5","Vienna","05:45",1289,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"6","Vienna","06:00",1603,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"7","Vienna","06:15",2090,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"8","Vienna","06:30",2202,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"9","Vienna","06:45",2643,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"10","Vienna","07:00",3003,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"11","Vienna","07:15",3294,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"12","Vienna","07:30",3854,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"13","Vienna","07:45",3436,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"14","Vienna","08:00",3658,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"15","Vienna","08:15",3441,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"16","Vienna","08:30",2773,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"17","Vienna","08:45",2231,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"18","Vienna","09:00",1810,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"19","Vienna","09:15",1419,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"20","Vienna","09:30",1351,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"21","Vienna","09:45",1002,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"22","Vienna","10:00",1089,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"23","Vienna","10:15",842,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"24","Vienna","10:30",769,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"25","Vienna","10:45",646,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"26","Vienna","11:00",631,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"27","Vienna","11:15",585,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"28","Vienna","11:30",590,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"29","Vienna","11:45",514,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"30","Vienna","12:00",566,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"31","Vienna","12:15",572,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"32","Vienna","12:30",486,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"33","Vienna","12:45",462,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"34","Vienna","13:00",467,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
"35","Vienna","13:15",459,1,"Orange","#DC8622","#fbf2e8",8.5,22.5
