"","Station","Time","Entrances","Order","line","color1","color2","start","finish"
"1","Shady Grove","04:45",832,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"2","Shady Grove","05:00",1035,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"3","Shady Grove","05:15",886,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"4","Shady Grove","05:30",1181,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"5","Shady Grove","05:45",1225,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"6","Shady Grove","06:00",1810,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"7","Shady Grove","06:15",2072,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"8","Shady Grove","06:30",2688,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"9","Shady Grove","06:45",2774,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"10","Shady Grove","07:00",3467,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"11","Shady Grove","07:15",3759,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"12","Shady Grove","07:30",4158,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"13","Shady Grove","07:45",3772,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"14","Shady Grove","08:00",4396,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"15","Shady Grove","08:15",3836,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"16","Shady Grove","08:30",3146,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"17","Shady Grove","08:45",2577,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"18","Shady Grove","09:00",2094,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"19","Shady Grove","09:15",1685,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"20","Shady Grove","09:30",1596,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"21","Shady Grove","09:45",1178,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"22","Shady Grove","10:00",1065,1,"Red","#BD173B","#f8e7eb",6.5,22.5
"23","Shady Grove","10:15",943,1,"Red","#BD173B","#f8e7eb",6.5,22.5
