"","Station","Time","Entrances","Order","line","color1","color2","start","finish"
"1","Wiehle","04:30",39,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"2","Wiehle","04:45",116.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"3","Wiehle","05:00",62.8,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"4","Wiehle","05:15",94.8,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"5","Wiehle","05:30",117.8,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"6","Wiehle","05:45",193.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"7","Wiehle","06:00",208.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"8","Wiehle","06:15",308.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"9","Wiehle","06:30",312.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"10","Wiehle","06:45",351.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"11","Wiehle","07:00",439.8,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"12","Wiehle","07:15",441.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"13","Wiehle","07:30",526.8,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"14","Wiehle","07:45",469.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"15","Wiehle","08:00",500.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"16","Wiehle","08:15",434.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"17","Wiehle","08:30",381.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"18","Wiehle","08:45",336,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"19","Wiehle","09:00",262.8,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"20","Wiehle","09:15",215.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"21","Wiehle","09:30",204.8,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"22","Wiehle","09:45",183.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"23","Wiehle","10:00",146,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"24","Wiehle","10:15",131.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"25","Wiehle","10:30",116,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"26","Wiehle","10:45",111.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"27","Wiehle","11:00",107.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"28","Wiehle","11:15",94.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"29","Wiehle","11:30",96.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"30","Wiehle","11:45",98,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"31","Wiehle","12:00",82.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"32","Wiehle","12:15",90.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"33","Wiehle","12:30",89.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"34","Wiehle","12:45",88,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"35","Wiehle","13:00",79,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"36","Wiehle","13:15",81.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"37","Wiehle","13:30",86.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"38","Wiehle","13:45",72,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"39","Wiehle","14:00",74.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"40","Wiehle","14:15",83.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"41","Wiehle","14:30",83,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"42","Wiehle","14:45",99,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"43","Wiehle","15:00",100.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"44","Wiehle","15:15",107.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"45","Wiehle","15:30",104,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"46","Wiehle","15:45",125.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"47","Wiehle","16:00",125.8,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"48","Wiehle","16:15",151.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"49","Wiehle","16:30",169.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"50","Wiehle","16:45",174,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"51","Wiehle","17:00",206.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"52","Wiehle","17:15",196.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"53","Wiehle","17:30",209,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"54","Wiehle","17:45",185.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"55","Wiehle","18:00",174.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"56","Wiehle","18:15",141.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"57","Wiehle","18:30",116.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"58","Wiehle","18:45",85.8,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"59","Wiehle","19:00",87,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"60","Wiehle","19:15",65.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"61","Wiehle","19:30",64.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"62","Wiehle","19:45",55.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"63","Wiehle","20:00",47.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"64","Wiehle","20:15",53,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"65","Wiehle","20:30",48.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"66","Wiehle","20:45",46,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"67","Wiehle","21:00",48.4,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"68","Wiehle","21:15",41.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"69","Wiehle","21:30",48.8,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"70","Wiehle","21:45",42.2,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
"71","Wiehle","22:00",33.6,1,"Silver","#A1A3A1","#f5f5f5",10.5,24.5
