"","Station","Time","Entrances","Order","line","color1","color2","start","finish"
"1","Fort Totten","04:45",80,1,"Yellow","#F6D336","#fefaea",0,8.5
"2","Fort Totten","05:00",582,1,"Yellow","#F6D336","#fefaea",0,8.5
"3","Fort Totten","05:15",738,1,"Yellow","#F6D336","#fefaea",0,8.5
"4","Fort Totten","05:30",642,1,"Yellow","#F6D336","#fefaea",0,8.5
"5","Fort Totten","05:45",930,1,"Yellow","#F6D336","#fefaea",0,8.5
"6","Fort Totten","06:00",882,1,"Yellow","#F6D336","#fefaea",0,8.5
"7","Fort Totten","06:15",1137,1,"Yellow","#F6D336","#fefaea",0,8.5
"8","Fort Totten","06:30",1294,1,"Yellow","#F6D336","#fefaea",0,8.5
"9","Fort Totten","06:45",1417,1,"Yellow","#F6D336","#fefaea",0,8.5
"10","Fort Totten","07:00",1540,1,"Yellow","#F6D336","#fefaea",0,8.5
"11","Fort Totten","07:15",1856,1,"Yellow","#F6D336","#fefaea",0,8.5
"12","Fort Totten","07:30",2104,1,"Yellow","#F6D336","#fefaea",0,8.5
"13","Fort Totten","07:45",1831,1,"Yellow","#F6D336","#fefaea",0,8.5
"14","Fort Totten","08:00",1733,1,"Yellow","#F6D336","#fefaea",0,8.5
"15","Fort Totten","08:15",1980,1,"Yellow","#F6D336","#fefaea",0,8.5
"16","Fort Totten","08:30",1801,1,"Yellow","#F6D336","#fefaea",0,8.5
"17","Fort Totten","08:45",1432,1,"Yellow","#F6D336","#fefaea",0,8.5
"18","Fort Totten","09:00",1249,1,"Yellow","#F6D336","#fefaea",0,8.5
"19","Fort Totten","09:15",1036,1,"Yellow","#F6D336","#fefaea",0,8.5
"20","Fort Totten","09:30",917,1,"Yellow","#F6D336","#fefaea",0,8.5
"21","Fort Totten","09:45",825,1,"Yellow","#F6D336","#fefaea",0,8.5
"22","Fort Totten","10:00",866,1,"Yellow","#F6D336","#fefaea",0,8.5
"23","Fort Totten","10:15",709,1,"Yellow","#F6D336","#fefaea",0,8.5
"24","Fort Totten","10:30",657,1,"Yellow","#F6D336","#fefaea",0,8.5
"25","Fort Totten","10:45",609,1,"Yellow","#F6D336","#fefaea",0,8.5
"26","Fort Totten","11:00",605,1,"Yellow","#F6D336","#fefaea",0,8.5
"27","Fort Totten","11:15",543,1,"Yellow","#F6D336","#fefaea",0,8.5
"28","Fort Totten","11:30",576,1,"Yellow","#F6D336","#fefaea",0,8.5
"29","Fort Totten","11:45",576,1,"Yellow","#F6D336","#fefaea",0,8.5
"30","Fort Totten","12:00",608,1,"Yellow","#F6D336","#fefaea",0,8.5
"31","Fort Totten","12:15",653,1,"Yellow","#F6D336","#fefaea",0,8.5
