"","time"
"1","4:30 AM to 4:45 AM"
"2","4:45 AM to 5:00 AM"
"3","5:00 AM to 5:15 AM"
"4","5:15 AM to 5:30 AM"
"5","5:30 AM to 5:45 AM"
"6","5:45 AM to 6:00 AM"
"7","6:00 AM to 6:15 AM"
"8","6:15 AM to 6:30 AM"
"9","6:30 AM to 6:45 AM"
"10","6:45 AM to 7:00 AM"
"11","7:00 AM to 7:15 AM"
"12","7:15 AM to 7:30 AM"
"13","7:30 AM to 7:45 AM"
"14","7:45 AM to 8:00 AM"
"15","8:00 AM to 8:15 AM"
"16","8:15 AM to 8:30 AM"
"17","8:30 AM to 8:45 AM"
"18","8:45 AM to 9:00 AM"
"19","9:00 AM to 9:15 AM"
"20","9:15 AM to 9:30 AM"
"21","9:30 AM to 9:45 AM"
"22","9:45 AM to 10:00 AM"
"23","10:00 AM to 10:15 AM"
"24","10:15 AM to 10:30 AM"
"25","10:30 AM to 10:45 AM"
"26","10:45 AM to 11:00 AM"
"27","11:00 AM to 11:15 AM"
"28","11:15 AM to 11:30 AM"
"29","11:30 AM to 11:45 AM"
"30","11:45 AM to 12:00 PM"
"31","12:00 PM to 12:15 PM"
"32","12:15 PM to 12:30 PM"
"33","12:30 PM to 12:45 PM"
"34","12:45 PM to 1:00 PM"
"35","1:00 PM to 1:15 PM"
"36","1:15 PM to 1:30 PM"
"37","1:30 PM to 1:45 PM"
"38","1:45 PM to 2:00 PM"
"39","2:00 PM to 2:15 PM"
"40","2:15 PM to 2:30 PM"
"41","2:30 PM to 2:45 PM"
"42","2:45 PM to 3:00 PM"
"43","3:00 PM to 3:15 PM"
"44","3:15 PM to 3:30 PM"
"45","3:30 PM to 3:45 PM"
"46","3:45 PM to 4:00 PM"
"47","4:00 PM to 4:15 PM"
"48","4:15 PM to 4:30 PM"
"49","4:30 PM to 4:45 PM"
"50","4:45 PM to 5:00 PM"
"51","5:00 PM to 5:15 PM"
"52","5:15 PM to 5:30 PM"
"53","5:30 PM to 5:45 PM"
"54","5:45 PM to 6:00 PM"
"55","6:00 PM to 6:15 PM"
"56","6:15 PM to 6:30 PM"
"57","6:30 PM to 6:45 PM"
"58","6:45 PM to 7:00 PM"
"59","7:00 PM to 7:15 PM"
"60","7:15 PM to 7:30 PM"
"61","7:30 PM to 7:45 PM"
"62","7:45 PM to 8:00 PM"
"63","8:00 PM to 8:15 PM"
"64","8:15 PM to 8:30 PM"
"65","8:30 PM to 8:45 PM"
"66","8:45 PM to 9:00 PM"
"67","9:00 PM to 9:15 PM"
"68","9:15 PM to 9:30 PM"
"69","9:30 PM to 9:45 PM"
"70","9:45 PM to 10:00 PM"
"71","10:00 PM to 10:15 PM"
"72","10:15 PM to 10:30 PM"
"73","10:30 PM to 10:45 PM"
"74","10:45 PM to 11:00 PM"
"75","11:00 PM to 11:15 PM"
"76","11:15 PM to 11:30 PM"
"77","11:30 PM to 11:45 PM"
"78","11:45 PM to 12:00 AM"
